time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-11-19 05:27:23,37.4509548012939,126.654291110377,0,Available with any HD 360 subscription,Available with any HD 360 subscription,61.209391394396,0.328084,0,0,0,26,5,0,61.209391394396,0,0,0,0,0,0,56.4,-5.3,0,0,0,1024,1024,1024,1024,0,0,0,0,56.5,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,
200,2024-11-19 05:27:23,37.4509547936051,126.65429106991,0,,,61.209391394396,0.328084,0,0.01205216574,0.01205216574,26,5,0,61.209391394396,0,0,0.01205216574,0,0,0,56.5,-5.4,0,0,0,1024,1024,1024,1024,0,0,0,0,56.5,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,"비행 중 기체 비행 전. 비전 시스템 및 장애물 회피 꺼짐 (Code: 180059)"
400,2024-11-19 05:27:23,37.4509547880815,126.654291022285,0,,,61.209391394396,0,0,0.025966700306,0.0259928157924,26,5,0,61.209391394396,0,0,0.025966700306,0,0,0,56.8,-5.4,0,0,0,1024,1024,1665,851,0,0,97,-26,56.5,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,
600,2024-11-19 05:27:24,37.4509547851131,126.65429098939,0,,,61.209391394396,0,0,0.035536746544,0.035582022136,25,5,0,61.209391394396,0,0,0.035536746544,0,0,0,56.9,-5.4,0,0,0,1024,1024,1684,805,0,0,100,-33,56.5,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,"Setting new Return-To-Home altitude to 70m (230 ft). Data Recorder File Index is 111. Setting new Maximum Flight Altitude to 500m (1640 ft)"
800,2024-11-19 05:27:24,37.4509547702131,126.654290952301,0,,,61.209391394396,0,0,0.047169292848,0.047621720684,25,5,0,61.209391394396,0,0,0.047169292848,0,0,0,56.9,-5.4,0,0,0,1024,1024,1684,692,0,0,100,-50,56.5,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,
1000,2024-11-19 05:27:24,37.4509547442296,126.654290911213,0,,,61.209391394396,0,0,0.06132874212,0.062836944268,25,5,0,61.209391394396,0,0,0.06132874212,0,0,0,56.9,-5.3,0,0,0,1024,1024,1684,574,0,0,100,-68,56.5,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,
1200,2024-11-19 05:27:24,37.4509547264747,126.65429088339,0,,,61.209391394396,0,0,0.071187338236,0.073176511528,25,5,0,61.209391394396,0,0,0.071187338236,0,0,0,56.9,-5.4,0,0,0,1024,1024,1684,400,0,0,100,-95,56.6,0,0,91,4.037,4.008,0,0,0,0,0,74.12,61.209391394396,0,41,Motors_Started,
1400,2024-11-19 05:27:24,37.4509547148794,126.654290865962,0,,,61.209391394396,0,0,0.07749672164,0.079762797828,25,5,8.11,61.209391394396,0,0,0.07749672164,0,0,0,56.9,-5.3,0,0,0,1024,1024,1684,556,0,0,100,-71,56.7,0,0,91,4.037,4.008,0,0,0,0,0.894,74.12,61.209391394396,0,41,Motors_Started,
1600,2024-11-19 05:27:25,37.4509547070321,126.654290854332,0,,,61.209391394396,0,0,0.081748034112,0.084183729728,25,5,8.11,61.209391394396,0,0,0.081748034112,0,0,0,56.8,-5.3,0,0,0,889,364,1684,595,-20,-100,100,-65,56.7,0,0,91,4.037,4.008,0,0,0,0,0.894,74.12,61.209391394396,0,11,AutoTakeoff,
1800,2024-11-19 05:27:25,37.4509547034468,126.654290831557,0,,,61.209391394396,0,0,0.08829724692,0.09090879556,25,5,8.11,61.209391394396,0,0,0.08829724692,0,0,0,56.7,-5.3,-0.1,0,0,941,364,1684,616,-13,-100,100,-62,56.7,0,0,91,4.037,4.008,0,0,0,0,0.894,74.12,61.209391394396,0,11,AutoTakeoff,
